,kp,damping_ratio,ramp_ratio,output_max,action_file,score,ate,success
66,311.1111111111111,1.0,0.2,0.02,0,0.1872809322414119,0.016963506891324,0.0
67,311.1111111111111,1.0,0.5,0.02,0,0.20163603148821233,0.017977123500292215,0.0
68,311.1111111111111,1.0,0.7,0.02,0,0.21563041118037768,0.019031208442618786,0.0
69,311.1111111111111,1.0,1.0,0.02,0,0.23395164164454174,0.0203602347743984,0.0
70,311.1111111111111,1.1666666666666665,0.1,0.02,0,0.1925973534236138,0.01725666675875487,0.0
71,311.1111111111111,1.1666666666666665,0.2,0.02,0,0.1958831331542922,0.017522878262881375,0.0
72,311.1111111111111,1.1666666666666665,0.5,0.02,0,0.20825254287601122,0.018404142094815217,0.0
73,311.1111111111111,1.1666666666666665,0.7,0.02,0,0.22130592631142879,0.019423528089198224,0.0
74,311.1111111111111,1.1666666666666665,1.0,0.02,0,0.23930802760186665,0.020768556450097286,0.0
75,311.1111111111111,1.3333333333333333,0.1,0.02,0,0.20226019679637192,0.017940531850274378,0.0
76,311.1111111111111,1.3333333333333333,0.2,0.02,0,0.2036978522018213,0.018044928612524422,0.0
77,311.1111111111111,1.3333333333333333,0.5,0.02,0,0.21421509440192582,0.018793783354160484,0.0
78,311.1111111111111,1.3333333333333333,0.7,0.02,0,0.22485355912704671,0.019605365649704,0.0
79,311.1111111111111,1.3333333333333333,1.0,0.02,0,0.24298569835354514,0.021030577327119937,0.0
80,311.1111111111111,1.5,0.1,0.02,0,0.2057180969918225,0.018073021015445636,0.0
81,311.1111111111111,1.5,0.2,0.02,0,0.21236682095040743,0.01867246180076606,0.0
82,311.1111111111111,1.5,0.5,0.02,0,0.22418464261240859,0.019611429761334412,0.0
83,311.1111111111111,1.5,0.7,0.02,0,0.23363379825923836,0.02034166527008913,0.0
84,311.1111111111111,1.5,1.0,0.02,0,0.2463304640519083,0.02124663328018013,0.0
85,311.1111111111111,1.6666666666666665,0.1,0.02,0,0.21170462974796808,0.018473909029236017,0.0
86,311.1111111111111,1.6666666666666665,0.2,0.02,0,0.21495235855191716,0.018758797909353475,0.0
87,311.1111111111111,1.6666666666666665,0.5,0.02,0,0.22867176376277515,0.019919336954852523,0.0
88,311.1111111111111,1.6666666666666665,0.7,0.02,0,0.23742083028595284,0.020598293176471306,0.0
89,311.1111111111111,1.6666666666666665,1.0,0.02,0,0.24928739802484037,0.02145667402814311,0.0
90,311.1111111111111,1.8333333333333333,0.1,0.02,0,0.21970865703616269,0.019097139762267103,0.0
91,311.1111111111111,1.8333333333333333,0.2,0.02,0,0.22237360529430647,0.019324002684013547,0.0
92,311.1111111111111,1.8333333333333333,0.5,0.02,0,0.23201660258278878,0.020103815139526814,0.0
93,311.1111111111111,1.8333333333333333,0.7,0.02,0,0.24088677457981217,0.02084393815374591,0.0
94,311.1111111111111,1.8333333333333333,1.0,0.02,0,0.25026644861522296,0.021481907866344123,0.0
95,311.1111111111111,2.0,0.1,0.02,0,0.22474231221624297,0.01946583152268687,0.0
96,311.1111111111111,2.0,0.2,0.02,0,0.22746975546773776,0.019698781628733095,0.0
97,311.1111111111111,2.0,0.5,0.02,0,0.23770816145938145,0.02058905952999294,0.0
98,311.1111111111111,2.0,0.7,0.02,0,0.2440127673266638,0.021063862407246104,0.0
99,311.1111111111111,2.0,1.0,0.02,0,0.2529023671837576,0.02167517441053114,0.0
100,522.2222222222222,0.5,0.1,0.02,0,0.1439377943430063,0.012683698334721187,0.0
101,522.2222222222222,0.5,0.2,0.02,0,0.13272596089287286,0.01234887654640469,0.0
102,522.2222222222222,0.5,0.5,0.02,0,0.14796387702271768,0.01363649639457504,0.0
103,522.2222222222222,0.5,0.7,0.02,0,0.14852446350960724,0.014181804273518303,0.0
104,522.2222222222222,0.5,1.0,0.02,0,0.17582897042121598,0.016123347742841757,0.0
105,522.2222222222222,0.6666666666666666,0.1,0.02,0,0.13925234547155263,0.012967690399316964,0.0
106,522.2222222222222,0.6666666666666666,0.2,0.02,0,0.13755981082691388,0.01297419890768639,0.0
107,522.2222222222222,0.6666666666666666,0.5,0.02,0,0.13799732385845692,0.01342358024460712,0.0
108,522.2222222222222,0.6666666666666666,0.7,0.02,0,0.15725591346233886,0.0148216970624904,0.0
109,522.2222222222222,0.6666666666666666,1.0,0.02,0,0.1862221517615751,0.016774624283419564,0.0
110,522.2222222222222,0.8333333333333333,0.1,0.02,0,0.1453499114501862,0.01339828844861555,0.0
111,522.2222222222222,0.8333333333333333,0.2,0.02,0,0.14320527012397263,0.013410288823716232,0.0
112,522.2222222222222,0.8333333333333333,0.5,0.02,0,0.15513355006879992,0.014538637462318453,0.0
113,522.2222222222222,0.8333333333333333,0.7,0.02,0,0.16872139309798817,0.01549718332874151,0.0
114,522.2222222222222,0.8333333333333333,1.0,0.02,0,0.19513329481124614,0.017349914131055848,0.0
115,522.2222222222222,1.0,0.1,0.02,0,0.1535076139345474,0.01392732323164178,0.0
116,522.2222222222222,1.0,0.2,0.02,0,0.1528645841955333,0.01407662849455237,0.0
117,522.2222222222222,1.0,0.5,0.02,0,0.15878161352535355,0.01468726355710117,0.0
118,522.2222222222222,1.0,0.7,0.02,0,0.18014269378919287,0.016255560469649846,0.0
119,522.2222222222222,1.0,1.0,0.02,0,0.21000849294049329,0.018562066736187953,0.0
120,522.2222222222222,1.1666666666666665,0.1,0.02,0,0.16336748863870937,0.014620641129349589,0.0
121,522.2222222222222,1.1666666666666665,0.2,0.02,0,0.16292667643107916,0.014739525816511686,0.0
122,522.2222222222222,1.1666666666666665,0.5,0.02,0,0.176632485378317,0.015869933022689582,0.0
123,522.2222222222222,1.1666666666666665,0.7,0.02,0,0.18827926576097145,0.016741426493887504,0.0
124,522.2222222222222,1.1666666666666665,1.0,0.02,0,0.21656770540385128,0.01901772770928841,0.0
125,522.2222222222222,1.3333333333333333,0.1,0.02,0,0.17242602922656353,0.015286277995324466,0.0
126,522.2222222222222,1.3333333333333333,0.2,0.02,0,0.1726536055446461,0.015405914350586759,0.0
127,522.2222222222222,1.3333333333333333,0.5,0.02,0,0.1891175432033358,0.016762921443080954,0.0
128,522.2222222222222,1.3333333333333333,0.7,0.02,0,0.19588269046289572,0.01723844429405763,0.0
129,522.2222222222222,1.3333333333333333,1.0,0.02,0,0.22564108957713894,0.019791682834506413,0.0
130,522.2222222222222,1.5,0.1,0.02,0,0.17823937157552167,0.01567959164089555,0.0
131,522.2222222222222,1.5,0.2,0.02,0,0.1785049909843829,0.015800782046908022,0.0
132,522.2222222222222,1.5,0.5,0.02,0,0.19677178767373144,0.017313560006505874,0.0
133,522.2222222222222,1.5,0.7,0.02,0,0.20741406589267222,0.018111868876699702,0.0
134,522.2222222222222,1.5,1.0,0.02,0,0.2301901319167809,0.020119192898196872,0.0
135,522.2222222222222,1.6666666666666665,0.1,0.02,0,0.19008582901978327,0.01660277445426978,0.0
136,522.2222222222222,1.6666666666666665,0.2,0.02,0,0.19355265320944892,0.0169611735969086,0.0
137,522.2222222222222,1.6666666666666665,0.5,0.02,0,0.2028540860524886,0.01772117446667633,0.0
138,522.2222222222222,1.6666666666666665,0.7,0.02,0,0.2181179938604951,0.019134705587628923,0.0
139,522.2222222222222,1.6666666666666665,1.0,0.02,0,0.2342487590024785,0.02040026798362,0.0
140,522.2222222222222,1.8333333333333333,0.1,0.02,0,0.20067318509281112,0.017610825608957027,0.0
141,522.2222222222222,1.8333333333333333,0.2,0.02,0,0.2001466970215907,0.017455328224129797,0.0
142,522.2222222222222,1.8333333333333333,0.5,0.02,0,0.21338322273172822,0.018622406018746235,0.0
143,522.2222222222222,1.8333333333333333,0.7,0.02,0,0.22284418344353832,0.01946256348753819,0.0
144,522.2222222222222,1.8333333333333333,1.0,0.02,0,0.23790761249220654,0.020654507615564123,0.0
145,522.2222222222222,2.0,0.1,0.02,0,0.20715158901356853,0.018102734417792525,0.0
146,522.2222222222222,2.0,0.2,0.02,0,0.20821091265337127,0.018213732665170956,0.0
147,522.2222222222222,2.0,0.5,0.02,0,0.2180535928034988,0.018939553785099313,0.0
148,522.2222222222222,2.0,0.7,0.02,0,0.22559762531265987,0.019583104506536667,0.0
149,522.2222222222222,2.0,1.0,0.02,0,0.24099707931883094,0.02083371165241639,0.0
