cone_type,friction,geom_size,geom_solimp_high,geom_solimp_low,geom_solimp_width,geom_solref_dampratio,geom_solref_timeconst,impratio,joint_solimp_high,joint_solimp_low,joint_solimp_width,joint_solref_dampratio,joint_solref_timeconst,num_cloth_geoms,tendon_main_solimp_high,tendon_main_solimp_low,tendon_main_solimp_width,tendon_main_solref_dampratio,tendon_main_solref_timeconst,tendon_shear_solimp_high,tendon_shear_solimp_low,tendon_shear_solimp_width,tendon_shear_solref_dampratio,tendon_shear_solref_timeconst
elliptic,2.31616912788648,0.001729557718891,0.992805128577371,0.993922578097872,0.025010494235405,1.00420762606396,0.033731617310634,26.532212438633,0.993270894040289,0.998327667390612,0.02795762342173,0.993723406650171,0.04389823855617,9,0.993088525295336,0.996840783525169,0.029781122580529,0.991606927948716,0.049580968017704,0.993451855857069,0.991833695564234,0.026333744282167,0.998325306385233,0.023418814249428
pyramidal,2.79058727637185,0.005335936406393,0.994695491673725,0.991628872625054,0.015255875687906,0.987659182093042,0.034724831698456,28.9721625231921,0.999389868975355,0.995638428749339,0.010110897871837,1.00381734946848,0.032567561180333,9,0.99543598202401,0.990013731782319,0.015362015157601,0.990323096338473,0.034529947939776,0.993671130721338,0.999708721008001,0.015167183424079,0.98687889343721,0.026864073670336
elliptic,7.55126705117196,0.002528149132846,0.999228684743882,0.994891124838154,0.015672489833718,1.00644548166548,0.038218972981798,26.4453199226351,0.998548424715228,0.994099806295112,0.014024235876679,1.00548747278358,0.037724181885901,11,0.999481932201368,0.998674844226063,0.0200897010541,1.003003054842,0.038153650956933,0.996558732157599,0.996445670308794,0.022539584743881,0.999479127053474,0.021573656007368
elliptic,9.4396804999321,0.002260223330009,0.994324218609611,0.994321574862307,0.02415171299507,0.996562679070678,0.049648559906324,18.4289700692961,0.99323278458306,0.999451737737227,0.023873766289586,0.992457428438697,0.039522950654197,9,0.992042750132156,0.994497089010008,0.011808977431017,0.981803395643803,0.044834138180009,0.993404406332594,0.996132102021211,0.013224733223064,1.01365619958324,0.015464181168425
elliptic,7.52404186087129,0.008983903423946,0.998990736512159,0.996758780155215,0.025891318044627,1.00609298994685,0.039975052068909,35.4927667624233,0.990101032049717,0.994920310177997,0.011195693773027,1.0077054557927,0.028721240792784,11,0.994307945718144,0.99881808486459,0.023227337199385,0.980833778296398,0.041354047760734,0.9982729684101,0.991839616101479,0.025374761059309,0.981778073782135,0.027410150729106
pyramidal,0.197614015168423,0.008443811989195,0.992769978277574,0.995856027998601,0.01111021077707,0.994013993334743,0.020632237868235,26.3387541634503,0.992825324029935,0.99096326436949,0.023994502366851,1.00954899130314,0.030576951514632,11,0.990267111246097,0.993376163019217,0.026788626579277,1.00199080539754,0.03317301004203,0.996231654285053,0.99007457556998,0.029116227391134,1.00952367243748,0.022899557738261
pyramidal,0.183821934246021,0.008602565533797,0.993790778290161,0.999872168120744,0.018984124542154,1.01188888809272,0.047141523789969,6.91137281423541,0.999885613402354,0.993380585512886,0.024518206480481,1.01109897421688,0.022926883911827,11,0.994984067248082,0.990189538981269,0.016853382835626,0.990384466419584,0.035456305043216,0.996112855834483,0.990233647516903,0.026411554650182,0.982338455507965,0.032031616845676
elliptic,5.66862349887804,0.001358518566935,0.999410421202673,0.99117467794218,0.01464653470991,1.00795794414259,0.03817606221716,12.3381178729784,0.994450332266502,0.997016055672851,0.02766941839509,1.00236229648255,0.036569745864613,9,0.997175180540396,0.99269401373415,0.017358351159559,0.99161562903623,0.042307778084043,0.993766228238177,0.994483095152142,0.013834734426586,0.980632828921797,0.010901404496421
elliptic,0.029002026703083,0.006309848274531,0.9971487683596,0.997414190321616,0.029992248232874,0.998747243064596,0.019868318727283,29.7317151328989,0.99770234893701,0.992360340477696,0.012211486985503,0.98468998215288,0.04040055548255,15,0.995225820877959,0.993945934381811,0.014258299427098,0.988533022414758,0.049891049396216,0.995059946359301,0.991114761508315,0.029999584449611,1.00448568265184,0.021110321876941
pyramidal,0.711494218525935,0.009451331337717,0.999644365591655,0.993002381753202,0.016850325447992,0.995769863643064,0.036464222691749,22.1287075480908,0.994497877543662,0.995617722799041,0.024818587011564,0.983078285581436,0.049868594032387,9,0.998449529508675,0.993914921855011,0.012707732591623,0.989570311352098,0.029957145758477,0.997149804675792,0.995736279969995,0.023944401487415,0.980740854445194,0.041014896647593
