cone_type,friction,geom_size,geom_solimp_high,geom_solimp_low,geom_solimp_width,geom_solref_dampratio,geom_solref_timeconst,impratio,joint_solimp_high,joint_solimp_low,joint_solimp_width,joint_solref_dampratio,joint_solref_timeconst,num_cloth_geoms,tendon_main_solimp_high,tendon_main_solimp_low,tendon_main_solimp_width,tendon_main_solref_dampratio,tendon_main_solref_timeconst,tendon_shear_solimp_high,tendon_shear_solimp_low,tendon_shear_solimp_width,tendon_shear_solref_dampratio,tendon_shear_solref_timeconst
pyramidal,2.79058727637185,0.005335936406393,0.994695491673725,0.991628872625054,0.015255875687906,0.987659182093042,0.034724831698456,28.9721625231921,0.999389868975355,0.995638428749339,0.010110897871837,1.00381734946848,0.032567561180333,9,0.99543598202401,0.990013731782319,0.015362015157601,0.990323096338473,0.034529947939776,0.993671130721338,0.999708721008001,0.015167183424079,0.98687889343721,0.026864073670336
pyramidal,0.197614015168423,0.008443811989195,0.992769978277574,0.995856027998601,0.01111021077707,0.994013993334743,0.020632237868235,26.3387541634503,0.992825324029935,0.99096326436949,0.023994502366851,1.00954899130314,0.030576951514632,11,0.990267111246097,0.993376163019217,0.026788626579277,1.00199080539754,0.03317301004203,0.996231654285053,0.99007457556998,0.029116227391134,1.00952367243748,0.022899557738261
pyramidal,0.183821934246021,0.008602565533797,0.993790778290161,0.999872168120744,0.018984124542154,1.01188888809272,0.047141523789969,6.91137281423541,0.999885613402354,0.993380585512886,0.024518206480481,1.01109897421688,0.022926883911827,11,0.994984067248082,0.990189538981269,0.016853382835626,0.990384466419584,0.035456305043216,0.996112855834483,0.990233647516903,0.026411554650182,0.982338455507965,0.032031616845676
pyramidal,0.711494218525935,0.009451331337717,0.999644365591655,0.993002381753202,0.016850325447992,0.995769863643064,0.036464222691749,22.1287075480908,0.994497877543662,0.995617722799041,0.024818587011564,0.983078285581436,0.049868594032387,9,0.998449529508675,0.993914921855011,0.012707732591623,0.989570311352098,0.029957145758477,0.997149804675792,0.995736279969995,0.023944401487415,0.980740854445194,0.041014896647593
pyramidal,0.577456155705203,0.010176312966902,0.992334462382712,0.994772086159601,0.019168834899317,1.00058067342632,0.015216004302356,20.9593588727529,0.994472099881407,0.99079826283227,0.017517612372997,1.01077727123309,0.044175778938678,9,0.99370484935811,0.994959068293218,0.017016377768105,1.00692417546136,0.04495968380845,0.994750783902252,0.991853254776789,0.018281606364521,1.00280333355408,0.034663867128679
pyramidal,0.060705196535825,0.005183581757029,0.996925443243886,0.994279648747413,0.01887879434233,1.00148412290499,0.010468107879306,25.9710794469739,0.995210159233972,0.993613866790509,0.018907681979412,0.997586355968859,0.038486167198123,15,0.994007453488584,0.995526184775712,0.019884085799619,1.01276699872794,0.029478987853129,0.999439550135468,0.990651429022842,0.01626124141904,0.990507899734221,0.010690069579211
pyramidal,1.38052452808384,0.005745292940971,0.993363137656728,0.990066586441683,0.017402842071866,1.0064145760472,0.013346462610177,19.7238810070438,0.993583727314728,0.991928356306526,0.011820825556053,1.00288694108485,0.030424931852039,9,0.997817814467033,0.994361899012118,0.010529488763937,0.987943853050822,0.042378131646374,0.99674772866268,0.991663569795908,0.010728214141738,0.981919895977964,0.040968345042672
pyramidal,0.248344759360291,0.008621884619522,0.993691193168715,0.998504499567601,0.028301695796398,1.01031425081472,0.038262958124179,37.2318142268972,0.992095292594284,0.991513147499895,0.013253033511836,0.981425679276431,0.028400260619287,11,0.997335781098561,0.997002306918449,0.018987191700765,0.993140722362742,0.023981107116139,0.99716205629923,0.991794311003874,0.021691169057901,1.00101434318182,0.042803829652003
pyramidal,0.794076764126144,0.010679015342156,0.991085978643154,0.999422787644467,0.02082478695491,0.992736616752084,0.037485331181369,20.2905887788871,0.998999166421905,0.990824069433801,0.024438163634285,0.993992716770348,0.048759387835014,9,0.994846712961972,0.992388135491782,0.018207375986777,1.01184451333394,0.021163310509582,0.995462040491712,0.99291003425042,0.02280452881842,0.984419680468244,0.02753840792878
pyramidal,0.085992474882699,0.006572083989737,0.991148390487135,0.993059437728562,0.025529959672953,0.987473386377796,0.046313746806167,13.7742461915325,0.998360932526007,0.996878021000733,0.017869330801705,1.01052153536347,0.04737566814913,15,0.996194765058758,0.994583209037267,0.026371134455981,1.01311208131167,0.031210604568487,0.995218242885021,0.998891047783826,0.027826110093899,1.01406301493562,0.021482461559914
pyramidal,0.264878022381883,0.008156418338913,0.990734905448737,0.996462281242814,0.027442158518103,0.994073522713428,0.01399704628691,4.43065585676636,0.994660988588938,0.991392591940176,0.018747726833611,0.989894785448377,0.042218801998518,9,0.999508605717297,0.991349184827237,0.024649608990036,0.98616440130567,0.01765474337477,0.993958386200671,0.995948307518528,0.016880399274443,0.981529449909994,0.01292373472857
pyramidal,1.70892651061555,0.002491049762091,0.994002698452735,0.99987056991718,0.026326831041405,0.984595905299145,0.034174721328324,35.8980423630608,0.995974289016157,0.99874509966958,0.020698428452078,1.00746967754595,0.032838049242202,11,0.999399133562611,0.995470139517138,0.0127860152281,0.997679596262997,0.034754974193085,0.992504112139726,0.99629352120523,0.018683941402503,0.991235297707904,0.021313518689025
pyramidal,2.48770029819262,0.010612333270414,0.991103549438592,0.993572123169504,0.014430033842403,0.994932012183362,0.017252233886207,38.9077773699363,0.991213795269232,0.993301429762114,0.013497953859733,0.98058059263401,0.017432034315754,9,0.994626735154412,0.997698855074218,0.011596777275038,1.01290057889591,0.041064172682815,0.99962874334966,0.998130576845554,0.028905079681137,1.0008300141484,0.028821187437918
