,a_reached_goal_at_end,a_smallest_reached_goal,background_texture_randomization,blur_randomization,camera_randomization,cloth_size,cloth_texture_randomization,cone_type,domain_randomization,dynamics_randomization,finger_collisions,friction,geom_size,geom_solimp_high,geom_solimp_low,geom_solimp_width,geom_solref_dampratio,geom_solref_timeconst,got_done,impratio,joint_solimp_high,joint_solimp_low,joint_solimp_width,joint_solref_dampratio,joint_solref_timeconst,lights_randomization,lookat_randomization,noise_randomization,num_cloth_geoms,robot_appearance_randomization,tendon_main_solimp_high,tendon_main_solimp_low,tendon_main_solimp_width,tendon_main_solref_dampratio,tendon_main_solref_timeconst,tendon_shear_solimp_high,tendon_shear_solimp_low,tendon_shear_solimp_width,tendon_shear_solref_dampratio,tendon_shear_solref_timeconst
8890,0.072153050292665,0.045201389010798,0,0,0,0.2,0,pyramidal,1,0,0,0.206552088431478,0.009805133550454,0.997617314797704,0.990405206185365,0.021588444373198,0.990104111133974,0.018765617424897,0,34.5432931128935,0.990954434064464,0.990414059229308,0.028519296354366,0.987860180445296,0.010831763636358,0,0,0,9,0,0.992441253191984,0.991194055878074,0.019546307083965,0.985337540509645,0.022881547866764,0.998129137715105,0.997688521214327,0.025372069287093,1.01041415736713,0.045284345395084
9452,0.068107625592179,0.049734563557505,0,0,0,0.2,0,elliptic,1,0,0,0.458412954755203,0.010955791699241,0.990758828581881,0.99728760015291,0.012408836957839,0.982308673359188,0.016630975108539,0,36.0794361421584,0.994535204917312,0.999207021675122,0.010202424157022,1.01296191171118,0.048862944273663,0,0,0,9,0,0.991718099993439,0.998659675203689,0.010356409818208,0.980514734737408,0.030837856301823,0.992257487129555,0.991168624062313,0.029612161099637,0.983962336944903,0.025363206819043
26113,0.065129640682762,0.046548368106986,0,0,0,0.2,0,elliptic,1,0,0,0.69796364490633,0.010494991094501,0.997862319759045,0.992594512655176,0.021670316790448,1.00562056689352,0.012770488019876,0,13.5080479549148,0.998448018892981,0.991291761729682,0.024516204664209,0.996115339311368,0.022112041804086,0,0,0,9,0,0.990457952971384,0.996863986443318,0.018873138922878,0.983224049971368,0.019391024706208,0.993348045474865,0.995527434309851,0.024149736074549,1.00475232976911,0.029790706080425
18,0.064348174928647,0.046752100222917,0,0,0,0.2,0,pyramidal,1,0,0,0.186273997304585,0.010166562992158,0.992138990589329,0.99381823622319,0.011290355709577,1.00115352927604,0.011190941281432,0,20.01773340218,0.992524951344159,0.996809154643581,0.015433097949441,1.01451984958776,0.041133853229034,0,0,0,9,0,0.993693840887331,0.990149921601539,0.015144466970681,1.00316534872601,0.014376773218677,0.992794986198995,0.995902295718641,0.017197275147293,0.999530856474662,0.048558879343422
24059,0.062417572588027,0.049302839763911,0,0,0,0.2,0,elliptic,1,0,0,0.193829803940543,0.011079395291768,0.996728342223469,0.996241245871701,0.027651602081433,0.980573764387891,0.031398697380615,0,27.7271761863959,0.996168628767114,0.992063096280804,0.015272014131668,0.994597168396065,0.023188674428469,0,0,0,9,0,0.998176631973903,0.994821743069389,0.01739044387537,1.01135575339929,0.038909334883414,0.996288559610506,0.996934328385129,0.017612661204676,1.00039112548198,0.03530175617144
17053,0.055275682142462,0.046131304183716,0,0,0,0.2,0,elliptic,1,0,0,0.249077270829708,0.008021917317781,0.995320346843322,0.991429710028875,0.025281601165881,1.00797915746158,0.043503602882253,0,26.4864802434573,0.990896588530661,0.999346397613417,0.01997405850117,0.99683174247145,0.049807349383396,0,0,0,9,0,0.999202083168885,0.997083183640357,0.025484039695227,0.984420253555202,0.010450742925569,0.99825675397242,0.992692843665334,0.028641615391917,0.988782582035643,0.01634347877417
22721,0.054838085384457,0.0473149704034,0,0,0,0.2,0,elliptic,1,0,0,0.399229565249293,0.010096046990687,0.992814363106395,0.99410034187737,0.027093377391731,0.99170628607784,0.013562158003237,0,12.562022169357,0.991534800707516,0.996329808550087,0.016971300008112,0.997561485513259,0.039964339571518,0,0,0,9,0,0.998587724753897,0.992612476327171,0.026961656059126,1.0076700999184,0.01879858634805,0.995616788937229,0.999730524138523,0.014915922037491,0.981936401942828,0.037467561722774
23998,0.051874822380636,0.048490773968144,0,0,0,0.2,0,elliptic,1,0,0,0.262169748927659,0.010939492928892,0.993096691313408,0.995330581128555,0.027880502743196,0.984442092291062,0.039924511859567,0,8.85729006207342,0.996537841215059,0.996528514936715,0.022932698374461,0.992885729098394,0.040093570048329,0,0,0,9,0,0.994709642043913,0.993908012866662,0.010759395970612,0.986479264310438,0.031976122942685,0.995102230051612,0.991953280303258,0.010380918797381,1.00991641641212,0.04803148967158
11025,0.050856444663349,0.045855748450596,0,0,0,0.2,0,pyramidal,1,0,0,1.60056214583595,0.007051068582602,0.995868390254566,0.997317802908126,0.018793632576636,0.981620128465739,0.0449384269212,0,34.1661552126864,0.995961252760942,0.992904031748794,0.011873632688241,0.994648200300044,0.034549669994296,0,0,0,9,0,0.998994747035473,0.996976616624268,0.021100871808705,0.991548187719534,0.036547310478775,0.995292088621572,0.998275776212837,0.011083618767243,0.996945530392579,0.022126720277192
26783,0.067665401905477,0.0479287167012,0,0,0,0.2,0,elliptic,1,0,0,1.84776930180349,0.008817924706768,0.995020203719346,0.99544196713138,0.022912240177412,0.996094946097847,0.035560325775009,0,23.8028789014344,0.993592557802556,0.997878452359088,0.024895276714785,0.988761537159893,0.028550809603143,0,0,0,7,0,0.993134473441406,0.999772730772504,0.017751304872858,1.01177467000198,0.049537215522512,0.998603067639577,0.993263257778698,0.011832675445635,0.988043593144315,0.034952251043215
13175,0.058062447091771,0.047819548653431,0,0,0,0.2,0,pyramidal,1,0,0,1.59225185266343,0.009323665122945,0.993416872750672,0.99291353595571,0.015474454802793,0.990143192733779,0.010565658462594,0,23.7943157599961,0.993868446251553,0.992338437648866,0.024902695384112,1.00930590582859,0.016071654649822,0,0,0,7,0,0.996277109131641,0.99465303938732,0.026056503683196,0.991350644804534,0.025256483317144,0.992397081942221,0.990110329125669,0.014697568944262,0.981953823130707,0.010751039473261
